
c,xz,xz was drowned,4/16/2023 6:54:46 PM
cxz,dsa,dsa is killed by it's own Craker Grenade,4/16/2023 7:07:22 PM
p,pi,pi was drowned,4/18/2023 3:11:48 PM
p,pi,pi was drowned,4/18/2023 3:12:04 PM
p,pi,pi is killed by it's own Craker Grenade,4/18/2023 3:12:24 PM
h,dcxz,dcxz was drowned,4/18/2023 3:21:23 PM
h,dcxz,dcxz was drowned,4/18/2023 3:21:52 PM
j,f,f is killed by it's own Craker Grenade,4/18/2023 3:26:40 PM
f,j,j is killed by it's own Craker Grenade,4/18/2023 3:27:00 PM
345,sdfsd,sdfsd is killed by it's own Craker Grenade,20/4/2023 2:56:42
345,sdfsd,sdfsd is killed by it's own Remote Grenade,20/4/2023 2:57:12
`12,123123,123123 is killed by it's own Remote Grenade,20/4/2023 3:40:48
